ticker,company,first_trade_date
329560,상상인이안제2호기업인수목적 주식회사,20190830
311390,네오크레마,20190822
195500,마니커에프앤지,20190820
328380,미래에셋대우기업인수목적3호 주식회사,20190820
286750,나노브릭,20190819
317830,주식회사 에스피시스템스,20190814
228670,주식회사 레이,20190808
186230,주식회사 그린플러스,20190807
282880,주식회사 코윈테크,20190805
327970,케어룸의료산업 주식회사,20190805
317330,덕산테코피아,20190802
317770,주식회사 슈프리마아이디,20190801
318000,한국바이오젠 주식회사,20190801
148150,세경하이테크,20190730
313760,윌링스,20190725
317850,대모엔지니어링주식회사,20190724
241840,에이스토리,20190719
300080,플리토,20190717
323210,이베스트이안기업인수목적1호 주식회사,20190715
234340,세틀뱅크,20190712
329050,주식회사 구스앤홈,20190712
289010,아이스크림에듀,20190711
327610,주식회사 펨토바이오메드,20190710
251970,펌텍코리아 주식회사,20190704
312610,에이에프더블류,20190701
309900,주식회사 티티씨디펜스,20190627
323280,신영해피투모로우제5호기업인수목적 주식회사,20190624
323940,케이비제18호기업인수목적 주식회사,20190624
323230,엠에프엠코리아,20190619
293780,압타바이오,20190612
308100,까스텔바작,20190610
305090,마이크로디지탈,20190605
278380,주식회사 원바이오젠,20190603
